Frequency [Hz], Amplitude [dB], Phase [deg]
10, -44.290466, -90.100533
10.59560179277616, -43.790794, -90.037621
11.226677735108137, -43.405281, -89.933014
11.895340673703195, -42.901474, -89.99617
12.603829296797274, -42.399487, -89.973122
13.354515629298987, -41.770153, -90.289391
14.149912974345758, -41.22628, -90.367088
14.992684327860456, -40.77557, -90.41452
15.885651294280526, -40.341396, -90.180832
16.831803533309568, -39.747917, -90.396339
17.834308769319094, -39.215122, -90.315498
18.896523396912098, -38.740616, -90.225044
20.022003718155844, -38.230167, -90.245102
21.2145178491063, -37.657593, -90.351494
22.47805833548725, -37.175095, -90.40596
23.81685551976158, -36.651169, -90.37944
25.23539170434766, -36.141788, -90.416328
26.738416158399467, -35.667679, -90.378883
28.330961018393243, -35.135872, -90.41423
30.01835813575589, -34.650005, -90.385735
31.80625692794119, -34.120045, -90.475052
33.700643292719285, -33.66325, -90.478874
35.707859649004625, -33.118, -90.432068
37.83462617131929, -32.624096, -90.479881
40.08806328898464, -32.119701, -90.558586
42.47571552536898, -31.592085, -90.493553
45.005576757004974, -31.08749, -90.43277
47.68611697714469, -30.578308, -90.436775
50.526310653356795, -30.069515, -90.435547
53.53566677410724, -29.554846, -90.431259
56.72426068491978, -29.064188, -90.416397
60.10276782070382, -28.551479, -90.442322
63.68249944718586, -28.041569, -90.475159
67.47544053110693, -27.532024, -90.520737
71.49428986597577, -27.018497, -90.504585
75.75250258771912, -26.491459, -90.514999
80.26433522257175, -25.996452, -90.589424
85.04489341802677, -25.482323, -90.502747
90.11018251665018, -24.975006, -90.547493
95.47716114208056, -24.473881, -90.563637
101.1637979766207, -23.954712, -90.543877
107.18913192051286, -23.444458, -90.546661
113.57333583431051, -22.931211, -90.548157
120.33778407775905, -22.418346, -90.626198
127.50512407130128, -21.90943, -90.683983
135.09935211980277, -21.406353, -90.756989
143.14589375234786, -20.898888, -90.719635
151.6716888470924, -20.380173, -90.739243
160.70528182616385, -19.871786, -90.712303
170.27691722259013, -19.351086, -90.822273
180.41864093920717, -18.842264, -90.883057
191.16440753857037, -18.335154, -90.924515
202.55019392306664, -17.813465, -90.907677
214.6141197858406, -17.285351, -90.9888
227.39657523579274, -16.764505, -91.101128
240.9403560239527, -16.252392, -91.112686
255.29080682395167, -15.722017, -91.101135
270.4959730463137, -15.187579, -91.208527
286.606761694825, -14.660789, -91.298759
303.67711180354604, -14.117373, -91.311928
321.76417502507354, -13.56819, -91.447662
340.92850697468145, -13.029675, -91.496452
361.23426997094305, -12.469646, -91.556679
382.7494478516315, -11.914201, -91.693115
405.54607358408276, -11.341541, -91.746323
429.7004704320844, -10.770361, -91.940834
455.29350748669475, -10.182961, -91.983292
482.41087041653736, -9.5877, -92.175079
511.14334834401654, -8.962815, -92.273857
541.5871378079476, -8.354387, -92.47747
573.8441648302393, -7.702188, -92.709381
608.0224261649427, -7.032843, -92.813049
644.236350872137, -6.360309, -93.040283
682.6071834272393, -5.644512, -93.340988
723.2633896483534, -4.894808, -93.663338
766.3410868007462, -4.103723, -93.9748
811.9844993184009, -3.272934, -94.348419
860.3464416684509, -2.387589, -94.78157
911.5888299750818, -1.438489, -95.336777
965.8832241158708, -0.397152, -96.027855
1023.4114021054538, 0.3068, -96.825363
1084.3659686896108, 0.748533, -97.820114
1148.9510001873098, 1.078694, -99.163216
1217.382727739662, 1.306468, -101.194618
1289.8902612533093, 1.478947, -104.02224
1366.7163564620073, 1.605689, -108.956146
1448.1182276745344, 1.695745, -118.38446
1534.3684089300132, 1.728088, 148.487961
1625.755666443795, 1.721597, 133.627411
1722.5859653987875, 1.715874, 125.075432
1825.1834943190443, 1.654024, 112.128563
1933.891750455232, 1.552752, 105.634293
2049.074689815848, 1.392281, 101.937637
2171.117945694505, 1.188319, 99.71595
2300.430119772919, 0.905848, 97.999466
2437.444150122222, 0.530957, 96.784904
2582.6187606826775, -0.008432, 95.861916
2736.4399970746717, -0.967458, 95.117737
2899.4228538828784, -1.956346, 94.610435
3072.112998861759, -2.863552, 94.041367
3255.08859983506, -3.718192, 93.669846
3448.96226040576, -4.522274, 93.300919
3654.383070957258, -5.275018, 92.947845
3872.0387818125573, -6.016006, 92.596893
4102.658105827195, -6.707576, 92.324791
4347.013158125026, -7.368126, 92.112389
4605.922041145108, -8.02894, 91.841461
4880.2515836544335, -8.651729, 91.670044
5170.920242896761, -9.273545, 91.516014
5478.901179593945, -9.866516, 91.262512
5805.225516094902, -10.460061, 91.178978
6150.985788580504, -11.043321, 90.962166
6517.339604882427, -11.608624, 90.737823
6905.513520162331, -12.173252, 90.550346
7316.8071434272, -12.726217, 90.45224
7752.597488629464, -13.272886, 90.251709
8214.34358491943, -13.807301, 90.120125
8703.591361485165, -14.349674, 89.906837
9221.978823334332, -14.877687, 89.784882
9771.241535346502, -15.401057, 89.595161
10353.218432956615, -15.934723, 89.488281
10969.857978923841, -16.45223, 89.404953
11623.224686798541, -16.979284, 89.234856
12315.506032928262, -17.486107, 89.15786
13049.019780144015, -17.985146, 89.005211
13826.221737646563, -18.49806, 88.88652
14649.71398307288, -18.979828, 88.758614
15522.25357427048, -19.46627, 88.575645
16446.761779946628, -19.960363, 88.370789
17426.333860096507, -20.444847, 88.169861
18464.249428955463, -20.94265, 87.888557
19563.98343517065, -21.426163, 87.65612
20729.2177959537, -21.910652, 87.343933
21963.85372416547, -22.395981, 87.103851
23272.024789604122, -22.875574, 86.856781
24658.110758226037, -23.355339, 86.497055
26126.752255633266, -23.82456, 86.162613
27682.866303920666, -24.311306, 85.82412
29331.662783900483, -24.779654, 85.444489
31078.66187782014, -25.246265, 85.08445
32929.71255097148, -25.717899, 84.681633
34891.012134067736, -26.162971, 84.267693
36969.12707195032, -26.609444, 83.816658
39171.014908092606, -27.07275, 83.387115
41504.047578504724, -27.522058, 82.924049
43976.036093027215, -27.961174, 82.399689
46595.25668664687, -28.372646, 81.874062
49370.478528390035, -28.806887, 81.387688
52310.993080562585, -29.220924, 80.73317
55426.645206631074, -29.622227, 80.082291
58727.86613189489, -30.001726, 79.440155
62225.708367302315, -30.396694, 78.778351
65931.88271333542, -30.747755, 78.092537
69858.79746785249, -31.10593, 77.323547
74019.59996915652, -31.448139, 76.652344
78428.22061337682, -31.762844, 75.92144
83099.41949353387, -32.056747, 75.025246
88048.83581643464, -32.362534, 74.119102
93293.04026284696, -32.62685, 73.213791
98849.59046625586, -32.838917, 72.228485
104737.08979594508, -33.097504, 71.279633
110975.2496412072, -33.28336, 70.314209
117584.95540521582, -33.476593, 69.276421
124588.33642950082, -33.611916, 68.224373
132008.84008314196, -33.723717, 67.008339
139871.31026472387, -33.839611, 65.748856
148202.070579886, -33.927727, 64.619453
157029.01247293776, -34.002766, 63.279587
166381.6886076131, -34.032463, 61.96587
176291.4118095948, -34.047489, 60.439621
186791.35990207846, -34.124897, 58.844707
197916.68678535573, -34.355465, 58.791611
209704.6401323235, -34.238403, 60.928677
222194.6860939524, -33.676907, 60.46492
235428.64143224203, -33.280022, 57.948139
249450.81352303165, -32.985558, 55.077877
264308.1486974108, -32.778667, 52.214474
280050.3894183631, -32.60215, 49.595867
296730.24081888725, -32.415691, 47.06847
314403.54715915, -32.197674, 44.446075
333129.4787934677, -31.961094, 41.849857
352970.73027306504, -31.741915, 39.163513
373993.73024788016, -31.471478, 36.391945
396268.86387014785, -31.214394, 33.433449
419870.70844439144, -30.944147, 30.363462
444878.28311275854, -30.666468, 27.18375
471375.3134116729, -30.406685, 23.780191
499450.511585514, -30.118469, 20.223606
529197.8735958447, -29.865166, 16.54952
560716.9938205458, -29.586315, 12.550627
594113.3984965039, -29.338356, 8.452441
629498.8990221887, -29.068567, 4.090102
666991.9663030129, -28.821318, -0.495925
706718.1273927492, -28.587313, -5.284791
748810.385759003, -28.361265, -10.292973
793409.6665797492, -28.145939, -15.592762
840665.2885618333, -27.945484, -21.185471
890735.463861044, -27.745911, -27.041826
943787.8277775391, -27.559593, -33.232605
